127 8.38918 1.27522 1.66555
128 9.69858 1.30563 2.07086
129 7.95381 1.28351 2.1115
255 13.0918 1.26356 1.91826
256 5.94139 0.81549 1.50312
257 2.7224 1.17428 2.26509
383 16.4671 1.01306 2.25659
384 17.9529 0.979851 2.17118
385 16.9453 1.12598 2.0323
511 16.3192 1.43761 1.88033
512 18.3621 0.717397 1.73328
513 16.5723 0.98235 1.99684
639 13.5377 0.586849 1.67564
640 14.7894 0.828504 2.21672
641 7.58483 0.64431 1.86032
767 8.83391 0.439064 1.65705
768 5.87609 0.452889 1.195
769 5.84214 0.288092 1.54811
895 7.29242 0.452696 1.68506
896 7.2288 0.517517 1.99889
897 8.29586 0.478117 1.73302
1023 6.69557 0.426805 1.77718
1024 6.21192 0.241353 1.60257
1025 6.2787 0.439503 1.64808
